몬스터 ID,원소 표식,초기 속성 표시 ui,몬스터 스킬 ID 1,몬스터 스킬 ID 2,몬스터 스킬 ID 3,몬스터 체력,몬스터 공격력,몬스터 속력,몬스터 드랍 골드,몬스터 드랍 실링,몬스터 역할군,몬스터 이름 스트링키,몬스터 사운드,몬스터 스프라이트,주석
monsterID,elementType,elementUI,monsterSkill01,monsterSkill02,monsterSkill03,monsterHP,monsterAttack,monsterSpeed,monsterDropGold,monsterDropShilling,monsterClass,monsterName,monsterSound,monsterSprite,desc
string,enum,enum,string,string,string,float,float,int,int,int,enum,string,string,string,string
20001,3,3,30010,30008,30013,1800,42,5,30,30,0,스웜 러너,20001.mp3,20001.png,스웜 러너
20002,3,3,30002,30005,30009,2800,10,3,35,35,1,본 크러셔,20002.mp3,20002.png,본 크러셔
20003,3,3,30010,30009,30013,1750,50,6,32,32,0,섀도우 리퍼,20003.mp3,20003.png,섀도우 리퍼
20004,3,3,30005,30004,30009,3200,10,1,40,40,1,가디언 코쿤,20004.mp3,20004.png,가디언 코쿤
20005,2,2,30001,30011,30007,1700,52,4,32,32,0,이그니스 스피터,20005.mp3,20005.png,이그니스 스피터
20006,1,1,30002,30006,30005,1900,45,4,32,32,0,아쿠아 스피터,20006.mp3,20006.png,아쿠아 스피터
20007,0,0,30011,30003,30013,1650,52,5,32,32,0,볼트 스피터,20007.mp3,20007.png,볼트 스피터
20008,2,2,30001,30007,30012,2100,48,4,40,40,0,파이어 인펙터,20008.mp3,20008.png,파이어 인펙터
20009,1,1,30002,30006,30012,2200,44,3,40,40,0,아이스 인펙터,20009.mp3,20009.png,아이스 인펙터
20010,0,0,30011,30003,30012,2050,49,5,40,40,0,썬더 인펙터,20010.mp3,20010.png,썬더 인펙터
20011,3,3,30028,30023,30014,2100,45,6,30,30,1,모노리스 가디언,20011.mp3,20011.png,모노리스 가디언
20012,3,3,30025,30022,30027,1500,40,8,30,30,0,스캐러브 드론,20012.mp3,20012.png,스캐러브 드론
20013,3,3,30028,30017,30018,1850,60,7,40,40,0,위상 암살자,20013.mp3,20013.png,위상 암살자
20014,3,3,30014,30015,30022,3500,35,2,45,45,1,툼 가드,20014.mp3,20014.png,툼 가드
20015,2,2,30015,30019,30018,1750,55,6,32,32,0,서멀 오브,20015.mp3,20015.png,서멀 오브
20016,1,1,30020,30016,30026,1950,50,5,32,32,0,프로스트 오브,20016.mp3,20016.png,프로스트 오브
20017,0,0,30025,30021,30023,1600,58,7,32,32,0,플라즈마 오브,20017.mp3,20017.png,플라즈마 오브
20018,2,2,30024,30015,30027,2400,52,5,40,40,1,레드 센티널,20018.mp3,20018.png,레드 센티널
20019,1,1,30020,30026,30016,2600,48,4,40,40,0,블루 센티널,20019.mp3,20019.png,블루 센티널
20020,0,0,30028,30025,30021,2150,56,6,40,40,1,옐로 센티널,20020.mp3,20020.png,옐로 센티널
20021,3,3,30033,30041,30035,2800,55,3,30,30,0,스크랩 봇,20021.mp3,20021.png,스크랩 봇
20022,3,3,30030,30029,30032,3200,65,4,40,40,0,체인소 스위퍼,20022.mp3,20022.png,체인소 스위퍼
20023,3,3,30031,30035,30036,2200,40,5,30,30,0,리페어 드론,20023.mp3,20023.png,리페어 드론
20024,3,3,30044,30032,30038,5500,80,1,60,60,0,헤비 탱크,20024.mp3,20024.png,헤비 탱크
20025,2,2,30033,30037,30043,3800,52,0,35,35,1,파이어 터렛,20025.mp3,20025.png,파이어 터렛
20026,1,1,30039,30044,30030,4000,48,0,35,35,1,아이스 터렛,20026.mp3,20026.png,아이스 터렛
20027,0,0,30031,30042,30040,3700,56,0,35,35,1,쇼크 터렛,20027.mp3,20027.png,쇼크 터렛
20028,2,2,30033,30037,30045,3200,68,3,45,45,0,버닝 워커,20028.mp3,20028.png,버닝 워커
20029,1,1,30039,30044,30034,3500,60,2,45,45,0,프리즈 워커,20029.mp3,20029.png,프리즈 워커
20030,0,0,30031,30042,30038,3000,72,4,45,45,0,볼트 워커,20030.mp3,20030.png,볼트 워커
20901,2,2,30201,30202,30203,8000,40,20,1000,1000,2,콜로서스 오버로드,20901.mp3,20901.png,콜로서스 오버로드
20902,1,1,30204,30205,30206,8000,30,20,1000,1000,2,하이브 마더,20902.mp3,20902.png,하이브 마더
20903,0,0,30209,30207,30208,8000,60,20,1000,1000,2,파라오 엑스 마키나,20903.mp3,20903.png,파라오 엑스 마키나
20101,3,3,30010,30010,30010,10000,10,10,500,500,1,보이드 글리치,20101.mp3,20101.png,보이드 글리치
